Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
27-05-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,20.2,116,368
30-05-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.7,39.5,282,702
7/2/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,31,68,132
7/5/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,35.7,49,120
7/6/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,22.7,48,204
7/7/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,31.3,57,220
7/9/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.3,24.8,53,152
7/11/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,22.5,43,142
7/12/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.3,24.3,64,247
14-07-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,27,112,369
16-07-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,17.6,98,364
19-07-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,5.3,30.5,158,601
23-07-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,22.7,77,373
26-07-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,15.3,101,315
31-07-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.3,32.7,74,197
8/4/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,31,73,186
8/7/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,9.8,39.5,50,218
8/10/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,37.7,70,267
13-08-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,21,60,317
16-08-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,23.7,182,640
18-08-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,33.3,182,607
21-08-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,39.3,92,187
